"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","apple.com","4,606,834","100"
"2","www.google.com","12,130,886","100"
"3","youtube.com","17,792,956","100"
"4","microsoft.com","4,544,029","99"
"5","play.google.com","2,383,583","99"
"6","support.google.com","4,579,728","99"
"7","docs.google.com","2,269,361","99"
"8","www.blogger.com","25,242,991","99"
"9","wordpress.org","9,932,628","98"
"10","linkedin.com","8,867,196","98"
"11","adobe.com","2,873,100","98"
"12","en.wikipedia.org","5,493,613","98"
"13","plus.google.com","11,919,474","98"
"14","maps.google.com","4,394,677","98"
"15","cloudflare.com","5,228,891","98"
"16","drive.google.com","1,792,961","97"
"17","googleusercontent.com","2,162,085","97"
"18","mozilla.org","1,960,650","97"
"19","europa.eu","1,690,818","97"
"20","accounts.google.com","2,534,423","97"
"21","vimeo.com","3,128,284","97"
"22","youtu.be","3,951,601","97"
"23","sites.google.com","1,690,493","97"
"24","amazon.com","4,023,995","96"
"25","bbc.co.uk","1,425,354","96"
"26","bp.blogspot.com","15,957,762","96"
"27","facebook.com","45,632,557","96"
"28","istockphoto.com","3,089,663","96"
"29","vk.com","1,595,524","96"
"30","github.com","2,018,423","96"
"31","es.wikipedia.org","780,163","96"
"32","creativecommons.org","1,553,541","96"
"33","medium.com","1,133,703","96"
"34","line.me","600,671","96"
"35","cnn.com","1,233,434","95"
"36","wikimedia.org","1,371,527","95"
"37","bbc.com","677,981","95"
"38","www.yahoo.com","913,953","95"
"39","imdb.com","1,235,776","95"
"40","who.int","2,140,566","95"
"41","t.me","515,636","95"
"42","google.es","415,211","95"
"43","live.com","738,743","95"
"44","forbes.com","1,121,274","95"
"45","mail.ru","480,333","95"
"46","dailymotion.com","1,071,644","95"
"47","google.co.uk","544,909","95"
"48","theguardian.com","1,206,322","95"
"49","google.fr","383,150","95"
"50","news.google.com","687,921","95"
"51","google.co.jp","631,682","95"
"52","msn.com","990,479","95"
"53","slideshare.net","878,593","95"
"54","feedburner.com","1,744,871","95"
"55","terra.com.br","186,958","95"
"56","networkadvertising.org","704,662","95"
"57","jimdofree.com","1,659,471","95"
"58","dropbox.com","940,553","95"
"59","whatsapp.com","1,751,822","95"
"60","pt.wikipedia.org","359,519","95"
"61","gstatic.com","585,590","95"
"62","mail.google.com","440,434","95"
"63","nih.gov","1,061,643","95"
"64","w3.org","1,066,117","95"
"65","hugedomains.com","5,037,140","95"
"66","fr.wikipedia.org","541,488","95"
"67","uol.com.br","562,424","95"
"68","myspace.com","1,257,024","95"
"69","aliexpress.com","441,081","95"
"70","google.com.br","264,615","95"
"71","policies.google.com","1,112,353","95"
"72","reuters.com","735,933","95"
"73","photos.google.com","232,574","95"
"74","nytimes.com","1,697,240","95"
"75","globo.com","385,271","95"
"76","buydomains.com","1,146,302","95"
"77","paypal.com","910,967","95"
"78","developers.google.com","909,654","95"
"79","google.de","1,093,527","95"
"80","twitter.com","48,377,172","94"
"81","books.google.com","348,482","94"
"82","ig.com.br","132,997","94"
"83","privacyshield.gov","422,218","94"
"84","nasa.gov","554,013","94"
"85","abril.com.br","227,402","94"
"86","steampowered.com","218,860","94"
"87","bit.ly","4,047,958","94"
"88","draft.blogger.com","8,399,425","94"
"89","news.yahoo.com","575,918","94"
"90","wikia.com","462,119","94"
"91","rakuten.co.jp","589,327","94"
"92","aboutads.info","491,507","94"
"93","tools.google.com","1,505,902","94"
"94","code.google.com","323,209","94"
"95","un.org","423,822","94"
"96","cdc.gov","663,246","94"
"97","time.com","620,358","94"
"98","booking.com","355,434","94"
"99","www.gov.uk","488,958","94"
"100","get.google.com","566,355","94"
"101","fandom.com","430,563","94"
"102","google.it","411,272","94"
"103","change.org","399,967","94"
"104","myaccount.google.com","265,701","94"
"105","ebay.com","885,418","94"
"106","www.wix.com","898,866","94"
"107","cpanel.net","1,340,235","94"
"108","gravatar.com","1,784,874","94"
"109","archive.org","884,541","94"
"110","independent.co.uk","524,412","94"
"111","dailymail.co.uk","784,595","94"
"112","marketingplatform.google.com","751,545","94"
"113","translate.google.com","276,474","94"
"114","mirror.co.uk","260,087","94"
"115","thesun.co.uk","257,358","94"
"116","plesk.com","698,954","94"
"117","ft.com","355,389","94"
"118","cpanel.com","1,252,927","94"
"119","hatena.ne.jp","1,457,335","94"
"120","ipv4.google.com","353,333","94"
"121","namecheap.com","825,182","94"
"122","pinterest.com","7,179,318","94"
"123","search.google.com","973,617","94"
"124","telegraph.co.uk","780,147","94"
"125","bing.com","891,817","94"
"126","washingtonpost.com","877,059","94"
"127","de.wikipedia.org","595,853","94"
"128","wired.com","539,942","94"
"129","scribd.com","652,225","94"
"130","usatoday.com","640,600","94"
"131","files.wordpress.com","1,989,178","94"
"132","mediafire.com","766,275","94"
"133","themeforest.net","508,144","94"
"134","android.com","266,848","94"
"135","telegram.me","271,507","94"
"136","fb.com","356,455","94"
"137","picasa.google.com","248,605","94"
"138","aol.com","655,204","94"
"139","lefigaro.fr","183,570","94"
"140","picasaweb.google.com","614,373","94"
